groupI	49618	-0.0012
groupI	49709	0.0533
groupI	65400	0.0000
groupI	65745	0.0000
groupI	65836	0.0049
groupI	67124	0.0000
groupI	67215	0.0010
groupI	89158	-0.0001
groupI	89249	-0.0035
groupI	91975	0.0013
groupI	92066	0.0063
groupI	103275	-0.0004
groupI	114510	0.0017
groupI	114601	-0.0015
groupI	129448	-0.0000
groupI	129539	-0.0001
groupI	136280	0.0053
groupI	136371	0.0017
groupI	137993	0.0002
groupI	138084	0.0072
groupI	161140	0.0204
groupI	175153	-0.0000
groupI	175244	0.0000
groupI	186819	0.0002
groupI	186910	0.0003
groupI	190613	0.0045
groupI	196283	0.0002
groupI	197844	0.0129
groupI	197884	0.0003
groupI	197975	0.0029
groupI	203260	0.0093
groupI	203351	-0.0003
groupI	205832	0.0368
groupI	205923	-0.0006
groupI	217961	0.0009
groupI	218052	-0.0009
groupI	226686	0.0036
groupI	236808	-0.0012
groupI	241514	0.0141
groupI	241605	0.0232
groupI	252521	0.0163
groupI	252612	-0.0001
groupI	268065	-0.0001
groupI	268156	0.0081
groupI	287679	0.0013
groupI	292218	0.0015
groupI	338335	-0.0000
groupI	382897	0.0038
groupI	383257	-0.0001
groupI	389575	0.0081
groupI	397237	0.0000
groupI	403993	-0.0000
groupI	405575	-0.0012
groupI	405666	0.0000
groupI	457516	0.0000
groupI	477799	-0.0001
groupI	477890	0.0000
groupI	483578	0.0000
groupI	487400	0.0001
groupI	488404	0.0006
groupI	489742	0.0000
groupI	489833	0.0000
groupI	515122	0.0009
groupI	515226	0.0000
groupI	518716	0.0034
groupI	518807	0.0010
groupI	544339	-0.0000
groupI	549785	-0.0000
groupI	549876	0.0322
groupI	551243	0.0036
groupI	551334	-0.0000
groupI	552355	-0.0001
groupI	552446	0.0082
groupI	562378	-0.0001
groupI	562564	0.0000
groupI	568227	-0.0001
groupI	568589	-0.0000
groupI	579360	-0.0000
groupI	579451	-0.0003
groupI	580401	0.0000
groupI	580492	0.0018
groupI	612207	0.0002
groupI	617290	0.0001
groupI	617381	0.0052
groupI	620969	-0.0007
groupI	621060	-0.0003
groupI	638799	0.0140
groupI	638890	0.0674
groupI	648934	0.0132
groupI	649025	0.0019
groupI	700344	0.0028
groupI	715703	-0.0016
groupI	715794	-0.0000
groupI	728633	-0.0001
groupI	728724	-0.0000
groupI	733652	-0.0000
groupI	733791	-0.0000
groupI	740478	0.0002
groupI	740569	0.2684
groupI	742687	-0.0000
groupI	742778	0.0282
groupI	768188	0.0001
groupI	768279	0.0180
groupI	804733	0.0147
groupI	847347	-0.0012
groupI	847438	0.0003
groupI	861224	0.0004
groupI	861315	-0.0001
groupI	882081	0.0000
groupI	882172	0.0026
